t,x_1,y_1,z_1,v_x_1,v_y_1,v_z_1,x_2,y_2,z_2,v_x_2,v_y_2,v_z_2
126000.00000000,-2137394.90659875,-906678.27488624,6451351.14506907,-7244.70921712,330.79819203,-2353.75143980,2137394.90659868,906678.27488624,-6451351.14506910,7244.70921712,-330.79819203,2353.75143980
126060.00000000,-2566998.99734508,-884827.62023580,6295875.65855507,-7070.11405637,397.28672724,-2826.84195013,2566998.99734501,884827.62023580,-6295875.65855510,7070.11405637,-397.28672724,2826.84195013
126120.00000000,-2985179.22001334,-859039.23362058,6112381.75324399,-6864.05489804,462.00722469,-3287.35221810,2985179.22001327,859039.23362058,-6112381.75324403,6864.05489804,-462.00722469,3287.35221810
126180.00000000,-3390074.55490621,-829427.88061975,5901686.02866309,-6627.44876336,524.67165995,-3733.23284341,3390074.55490615,829427.88061976,-5901686.02866312,6627.44876336,-524.67165995,3733.23284341
126240.00000000,-3779883.10381682,-796125.34008893,5664726.14009163,-6361.34861624,585.00115864,-4162.49953175,3779883.10381676,796125.34008894,-5664726.14009167,6361.34861624,-585.00115864,4162.49953175
126300.00000000,-4152870.10898192,-759279.81770725,5402556.62573156,-6066.93867723,642.72723751,-4573.24192555,4152870.10898186,759279.81770725,-5402556.62573160,6066.93867723,-642.72723751,4573.24192555
126360.00000000,-4507375.67324289,-719055.28642030,5116344.21371532,-5745.52915344,697.59299927,-4963.63210554,4507375.67324284,719055.28642031,-5116344.21371537,5745.52915344,-697.59299927,4963.63210554
126420.00000000,-4841822.14705504,-675630.75671444,4807362.62983747,-5398.55040770,749.35427582,-5331.93272554,4841822.14705499,675630.75671445,-4807362.62983752,5398.55040770,-749.35427582,5331.93272554
126480.00000000,-5154721.14947267,-629199.47996964,4476986.92911584,-5027.54659310,797.78071493,-5676.50474411,5154721.14947262,629199.47996964,-4476986.92911590,5027.54659310,-797.78071493,5676.50474411
126540.00000000,-5444680.19186237,-579968.08843655,4126687.37641050,-4634.16878105,842.65680530,-5995.81471879,5444680.19186233,579968.08843656,-4126687.37641056,4634.16878105,-842.65680530,5995.81471879
126600.00000000,-5710408.87486988,-528155.67566482,3758022.90333086,-4220.16761353,883.78283570,-6288.44163031,5710408.87486984,528155.67566483,-3758022.90333092,4220.16761353,-883.78283570,6288.44163031
126660.00000000,-5950724.63106070,-473992.82147501,3372634.17055076,-3787.38551226,920.97578372,-6553.08320656,5950724.63106067,473992.82147502,-3372634.17055083,3787.38551226,-920.97578372,6553.08320656
126720.00000000,-6164557.98767736,-417720.56581364,2972236.26640760,-3337.74847943,954.07013028,-6788.56171802,6164557.98767733,417720.56581365,-2972236.26640767,3337.74847943,-954.07013028,6788.56171802
126780.00000000,-6350957.32609461,-359589.33605754,2558611.07427603,-2873.25752637,982.91859621,-6993.82921905,6350957.32609458,359589.33605755,-2558611.07427610,2873.25752637,-982.91859621,6993.82921905
126840.00000000,-6509093.11679034,-299857.83254140,2133599.34268484,-2395.97976858,1007.39279772,-7167.97221147,6509093.11679032,299857.83254141,-2133599.34268491,2395.97976858,-1007.39279772,7167.97221147
126900.00000000,-6638261.61098498,-238791.87726869,1699092.49346895,-1908.03922642,1027.38381773,-7310.21570997,6638261.61098497,238791.87726870,-1699092.49346903,1908.03922642,-1027.38381773,7310.21570997
126960.00000000,-6737887.97252194,-176663.23092880,1257024.20440933,-1411.60737263,1042.80269057,-7419.92669094,6737887.97252193,176663.23092881,-1257024.20440940,1411.60737263,-1042.80269057,7419.92669094
127020.00000000,-6807528.83605038,-113748.38348538,809361.80382203,-908.89346871,1053.58079792,-7496.61690962,6807528.83605037,113748.38348539,-809361.80382210,908.89346871,-1053.58079792,7496.61690962
127080.00000000,-6846874.28012554,-50327.32371840,358097.51539455,-402.13473303,1059.67017416,-7539.94507296,6846874.28012553,50327.32371841,-358097.51539462,402.13473303,-1059.67017416,7539.94507296
127140.00000000,-6855749.20644663,13317.70680486,-94760.40777089,106.41361541,1061.04371986,-7549.71835844,6855749.20644663,-13317.70680485,94760.40777082,-106.41361541,-1061.04371986,7549.71835844
127200.00000000,-6834114.11909348,76903.46978430,-547196.62044948,614.48839330,1057.69532235,-7525.89327219,6834114.11909348,-76903.46978429,547196.62044941,-614.48839330,-1057.69532235,7525.89327219
127260.00000000,-6782065.30029448,140146.99067698,-997197.65414621,1119.82852488,1049.63988295,-7468.57584254,6782065.30029449,-140146.99067696,997197.65414614,-1119.82852488,-1049.63988295,7468.57584254
127320.00000000,-6699834.38194366,202766.81801358,-1442760.87759799,1620.18510433,1036.91325062,-7378.02114819,6699834.38194367,-202766.81801357,1442760.87759792,-1620.18510433,-1036.91325062,7378.02114819
127380.00000000,-6587787.31477334,264484.27593674,-1881903.40904699,2113.33140402,1019.57206246,-7254.63218303,6587787.31477336,-264484.27593673,1881903.40904691,-2113.33140402,-1019.57206246,7254.63218303
127440.00000000,-6446422.73977065,325024.70438691,-2312670.94062148,2597.07278412,997.69349164,-7098.95806267,6446422.73977068,-325024.70438690,2312670.94062141,-2597.07278412,-997.69349164,7098.95806267
127500.00000000,-6276369.76908461,384118.68141700,-2733146.43555670,3069.25645933,971.37490397,-6911.69158076,6276369.76908464,-384118.68141699,2733146.43555663,-3069.25645933,-971.37490397,6911.69158076
127560.00000000,-6078385.18630010,441503.22219589,-3141458.65954768,3527.78107938,940.73342455,-6693.66612588,6078385.18630014,-441503.22219588,3141458.65954762,-3527.78107938,-940.73342455,6693.66612588
127620.00000000,-5853350.07853759,496922.94936496,-3535790.50826932,3970.60608066,905.90541660,-6445.85197264,5853350.07853763,-496922.94936495,3535790.50826925,-3970.60608066,-905.90541660,6445.85197264
127680.00000000,-5602265.91536792,550131.22953917,-3914387.09400100,4395.76076725,867.04587457,-6169.35196380,5602265.91536796,-550131.22953916,3914387.09400094,-4395.76076725,-867.04587457,6169.35196380
127740.00000000,-5326250.09199062,600891.27089504,-4275563.55537151,4801.35308115,824.32773434,-5865.39660222,5326250.09199066,-600891.27089503,4275563.55537146,-4801.35308115,-824.32773434,5865.39660222
127800.00000000,-5026530.95651038,648977.17696101,-4617712.55546678,5185.57802239,777.94110366,-5535.33857481,5026530.95651043,-648977.17696101,4617712.55546673,-5185.57802239,-777.94110366,5535.33857481
127860.00000000,-4704442.34344293,694174.95192022,-4939311.43493066,5546.72568183,728.09241611,-5180.64673269,4704442.34344298,-694174.95192021,4939311.43493061,-5546.72568183,-728.09241611,5180.64673269
127920.00000000,-4361417.63777568,736283.45295214,-5238928.98822814,5883.18885073,675.00351237,-4802.89955440,4361417.63777573,-736283.45295213,5238928.98822809,-5883.18885073,-675.00351237,4802.89955440
127980.00000000,-3998983.39600062,775115.28537482,-5515231.83291316,6193.47017330,618.91065300,-4403.77812122,3998983.39600068,-775115.28537481,5515231.83291312,-6193.47017330,-618.91065300,4403.77812122
128040.00000000,-3618752.55250910,810497.63660386,-5766990.34355507,6476.18881030,560.06346702,-3985.05863585,3618752.55250916,-810497.63660385,5766990.34355503,-6476.18881030,-560.06346702,3985.05863585
128100.00000000,-3222417.24157939,842273.04521713,-5993084.12391830,6730.08658422,498.72384097,-3548.60451786,3222417.24157946,-842273.04521712,5993084.12391826,-6730.08658422,-498.72384097,3548.60451786
128160.00000000,-2811741.26690233,870300.10170241,-6192506.99304121,6954.03357851,435.16475345,-3096.35811094,2811741.26690239,-870300.10170240,6192506.99304118,-6954.03357851,-435.16475345,3096.35811094
128220.00000000,-2388552.25215942,894454.07776948,-6364371.46302404,7147.03316600,369.66906029,-2630.33203888,2388552.25215949,-894454.07776947,6364371.46302401,-7147.03316600,-369.66906029,2630.33203888
128280.00000000,-1954733.50758257,914627.48142615,-6507912.68860016,7308.22644421,302.52823576,-2152.60024888,1954733.50758264,-914627.48142615,6507912.68860014,-7308.22644421,-302.52823576,2152.60024888
128340.00000000,-1512215.64869287,930730.53534791,-6622491.87091297,7436.89605768,234.04107543,-1665.28878188,1512215.64869294,-930730.53534791,6622491.87091296,-7436.89605768,-234.04107543,1665.28878188
128400.00000000,-1062968.00451922,942691.57641223,-6707599.10035020,7532.46939041,164.51236643,-1170.56631106,1062968.00451929,-942691.57641223,6707599.10035019,-7532.46939041,-164.51236643,1170.56631106
128460.00000000,-608989.85352928,950457.37461966,-6762855.62578549,7594.52111417,94.25153110,-670.63449068,608989.85352935,-950457.37461966,6762855.62578549,-7594.52111417,-94.25153110,670.63449068
128520.00000000,-152301.52627699,953993.36998232,-6788015.54012750,7622.77508132,23.57124993,-167.71815805,152301.52627706,-953993.36998232,6788015.54012750,-7622.77508132,-23.57124993,167.71815805
128580.00000000,305064.58563595,953283.82632557,-6782966.87467555,7617.10555376,-47.21392994,335.94456759,-305064.58563587,-953283.82632557,6782966.87467556,-7617.10555376,47.21392994,-335.94456759
128640.00000000,761073.07427548,948331.90131840,-6747732.09741197,7577.53776248,-117.78899454,838.11224535,-761073.07427541,-948331.90131840,6747732.09741198,-7577.53776248,117.78899454,-838.11224535
128700.00000000,1213694.57351308,939159.63242091,-6682468.01301323,7504.24779528,-187.83986495,1336.55008771,-1213694.57351300,-939159.63242091,6682468.01301324,-7504.24779528,187.83986495,-1336.55008771
128760.00000000,1660914.79027696,925807.83881144,-6587465.06502490,7397.56181316,-257.05479509,1829.03990598,-1660914.79027689,-925807.83881144,6587465.06502492,-7397.56181316,257.05479509,-1829.03990598
128820.00000000,2100743.46872211,908335.93972972,-6463146.04330629,7257.95459875,-325.12575904,2313.38998184,-2100743.46872204,-908335.93972973,6463146.04330631,-7257.95459875,325.12575904,-2313.38998184
128880.00000000,2531223.24742954,886821.69004454,-6310064.20249650,7086.04744347,-391.74982185,2787.44482112,-2531223.24742947,-886821.69004454,6310064.20249653,-7086.04744347,391.74982185,-2787.44482112
128940.00000000,2950438.37021610,861360.83422264,-6128900.79987536,6882.60538253,-456.63048768,3249.09474637,-2950438.37021603,-861360.83422264,6128900.79987540,-6882.60538253,456.63048768,-3249.09474637
129000.00000000,3356523.21178763,832066.68023897,-5920462.06357713,6648.53379038,-519.47901932,3696.28528546,-3356523.21178756,-832066.68023898,5920462.06357716,-6648.53379038,519.47901932,-3696.28528546
