t,x_1,y_1,z_1,v_x_1,v_y_1,v_z_1,x_2,y_2,z_2,v_x_2,v_y_2,v_z_2
2520.00000000,-6465666.89044219,-317534.51621111,2259375.48246042,-2537.22329085,1000.67185106,-7120.15019109,-6455347.46052049,-483906.67602068,2259375.48246042,-2562.14733132,935.01188962,-7120.15019109
2580.00000000,-6603400.33877100,-256832.18548377,1827455.95632498,-2052.18824909,1021.98844331,-7271.82562613,-6594598.20410705,-426770.81902291,1827455.95632498,-2077.82195221,968.81005510,-7271.82562613
2640.00000000,-6711746.79691603,-194986.87923981,1387403.73680511,-1558.02039199,1038.75689932,-7391.13939032,-6704501.12948662,-367735.71175620,1387403.73680511,-1584.24968057,998.29674313,-7391.13939032
2700.00000000,-6790224.09264195,-132273.82649976,941177.18014031,-1056.91890560,1050.90259474,-7477.56050381,-6784567.13770662,-307064.07706464,941177.18014031,-1083.62705192,1023.34072967,-7477.56050381
2760.00000000,-6838482.97989359,-68972.11800034,490762.12010831,-551.11383259,1058.37147782,-7530.70436834,-6834439.91249407,-245025.92080002,490762.12010831,-578.18197788,1043.83056192,-7530.70436834
2820.00000000,-6856308.69303912,-5363.46416205,38163.03050574,-42.85614790,1061.13030992,-7550.33447873,-6853897.50596334,-181897.33021976,38163.03050574,-70.16383130,1059.67505436,-7550.33447873
2880.00000000,-6843621.90263759,58269.05860143,-414605.89532443,465.59225870,1059.16681347,-7536.36347549,-6842853.32634673,-117959.24532091,-414605.89532443,438.16656409,1070.80369454,-7536.36347549
2940.00000000,-6800479.06847727,121642.26765299,-865529.70822021,971.96864871,1052.48972656,-7488.85353350,-6801356.52335216,-53496.20857808,-865529.70822021,944.54699493,1077.16695687,-7488.85353350
3000.00000000,-6727072.18831370,184474.13437452,-1312601.67029152,1474.01950465,1041.12876413,-7408.01608538,-6729591.76943317,11204.90135063,-1312601.67029152,1446.72392578,1078.73652305,-7408.01608538
3060.00000000,-6623727.94342564,246485.03927368,-1753832.18546862,1969.51055889,1025.13448564,-7294.21088052,-6627878.43794451,75856.14631447,-1753832.18546862,1942.46252794,1075.50540807,-7294.21088052
3120.00000000,-6490906.24479141,307399.01636928,-2187257.65376467,2456.23673679,1004.57807015,-7147.94438413,-6496669.18184081,140169.81007577,-2187257.65376467,2429.55662511,1067.48799130,-7147.94438413
3180.00000000,-6329198.18635559,366944.98131764,-2610949.20984838,2932.03196984,979.55099949,-6969.86752328,-6336547.91924356,203859.67872828,-2610949.20984838,2905.83851144,1054.71995250,-6969.86752328
